id name,email anonymized,Are you interested in being a Team Representative?,f14bacd9c5e337e88617ecf7588b09c1,2a5f502a9b0f5d8ca090edfe9516c0f1,bf5dcab36ea2cab81be891aeb42f10d5,6d01182543b886b3aaf0e40d02bf0a5e,a871d0026901a4186f2902c6d7ca23d9,95dda093b40621d1a1629fe6efa4a15f,1699ea9ea14f94400638064d390eb50d,c4a681ce3d9a804283bb66945c3be328,ce9a07724daed8a4f2bb0243a197f7c0,84cd248f5289c24095a7f29f23720ef0,1f4eb6bcc3951341284ad42f989acaec,d96c3199963b71fc71564236b25bd1f8,99db73a17b41b521be87c691bc1697f1,080fc5b6bd95656ba2165a1bc1802088,Mondays,Tuesdays,Wednesdays,Thursdays,Fridays,anonymized group preference,anonymized project assignment,Team #
31fe58d03ac3a3105b57d6ce5923e878,7f88d41092e341a0f8089ad06e781236,,,,,,,,,,,,,,,,,,,,,[''],1699ea9ea14f94400638064d390eb50d,5
61d07ea632dbca5e50f60f7344c48253,1ea5eb93aa1eb3275cd4862916ab3dde,Yes,7th,2nd,5th,8th,10th,9th,4th,14th,6th,11th,12th,13th,3rd,1st,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",[''],080fc5b6bd95656ba2165a1bc1802088,1
cb26e1c1d361ff032d52881db6acba6a,d2b43f41e70b0568a78c7a4994775fc5,Maybe,1st,11th,8th,4th,12th,5th,3rd,10th,7th,2nd,9th,13th,14th,6th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),Late Afternoon Availability (3:00-5:00pm),['f765e16450122a86ca63c8065614f711'],84cd248f5289c24095a7f29f23720ef0,3
3bd94e2f3eb068213b871913ee503dae,7e6a9e7b563e23b71af8ba57b37f1618,Maybe,14th,1st,3rd,1st,14th,3rd,3rd,4th,14th,14th,1st,4th,1st,3rd,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],c4a681ce3d9a804283bb66945c3be328,2
fe13d6b40216c7c26c8c5ef5e4369695,79afbc9f72173caf050de2b3f9831f8c,Yes,12th,5th,13th,4th,6th,9th,10th,8th,11th,7th,2nd,14th,3rd,1st,I am not available at any point during the day (9:00am-5:00pm),Morning Availability (9:00-11:00am),I am not available at any point during the day (9:00am-5:00pm),I am not available at any point during the day (9:00am-5:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","['38ddd745771197764a23c1abd4ef61b2', '11765054dd7edd15c57b6e6ab5d277e2']",080fc5b6bd95656ba2165a1bc1802088,3
d08b418225c311b4ea40c871f8ba9fbb,a786cd37c5e41c79d270eec724459088,No,11th,14th,2nd,3rd,1st,9th,14th,14th,13th,11th,14th,5th,5th,8th,I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],6d01182543b886b3aaf0e40d02bf0a5e,2
00f8977db5e78880727c4ba377a7e5b4,7270b675e99abb80732bb1f459230eae,Yes,1st,12th,7th,11th,6th,13th,5th,3rd,9th,8th,2nd,10th,4th,14th,Late Afternoon Availability (3:00-5:00pm),I am not available at any point during the day (9:00am-5:00pm),Late Afternoon Availability (3:00-5:00pm),I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['49ed43805e8c77dec154241be48808cb'],1f4eb6bcc3951341284ad42f989acaec,3
e1dbb90d537d4426ecb927e640a47d11,a52735f75d9c47ec276ec4067840759c,Maybe,3rd,4th,11th,5th,7th,1st,8th,9th,12th,13th,6th,14th,2nd,10th,"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",['e12608e4aca1cb5f0ba774fdca801653'],95dda093b40621d1a1629fe6efa4a15f,3
11765054dd7edd15c57b6e6ab5d277e2,757aeec24d8c68797e9e06b01c2546f8,Yes,7th,5th,8th,4th,11th,14th,10th,3rd,6th,1st,13th,9th,12th,2nd,Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],080fc5b6bd95656ba2165a1bc1802088,3
1e6719f142685a93fce4e1efd58fc95d,cc009c3f4dd5f7bf940867fe44b9519c,,,,,,,,,,,,,,,,,,,,,[''],1699ea9ea14f94400638064d390eb50d,5
c509839db8e58f5a03835130bdbe2a40,9a1abfd38cf351f90babec477d9845b8,No,14th,1st,3rd,9th,4th,11th,12th,13th,8th,7th,6th,5th,2nd,10th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Late Afternoon Availability (3:00-5:00pm),Early Afternoon Availability (1:00-3:00pm),Late Afternoon Availability (3:00-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['d76a13b0b2c64913ff50d15e8714437f'],99db73a17b41b521be87c691bc1697f1,1
3186ac571ad0644ef472059ceb93882e,7d190fbdc275c690b84318d8870be9f8,No,14th,3rd,7th,5th,6th,9th,10th,13th,6th,11th,12th,1st,4th,2nd,Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Morning Availability (9:00-11:00am),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",['a3a1d48696f9a64e2d5b889829e4b771'],d96c3199963b71fc71564236b25bd1f8,1
b011a4a0073fa0ffe904eb9cfc3f2d45,bb8a9cbf3c5649d691e1212decfea469,Yes,8th,6th,14th,12th,7th,9th,3rd,10th,1st,11th,13th,2nd,4th,5th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Morning Availability (9:00-11:00am),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],ce9a07724daed8a4f2bb0243a197f7c0,2
805b765cde9133d634abc902f5aa3004,28b6324850eae59b48a76307ceee194c,No,13th,14th,5th,12th,2nd,1st,11th,10th,4th,9th,8th,6th,7th,3rd,Early Afternoon Availability (1:00-3:00pm),"Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),['2cd62cb5cd52edf3a48a1f3def8239b0'],ce9a07724daed8a4f2bb0243a197f7c0,1
a6d76dff4f56a50d9b9b7fb0a333b6af,43408715174722992cee5199367bc43e,No,4th,10th,14th,5th,12th,3rd,1st,9th,2nd,13th,11th,7th,6th,8th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Midday Availability (11:00am-1:00pm),I am not available at any point during the day (9:00am-5:00pm),[''],ce9a07724daed8a4f2bb0243a197f7c0,2
a3a1d48696f9a64e2d5b889829e4b771,db4c16ee3ea8e3d881f90cb3f4ece846,Maybe,5th,1st,7th,5th,5th,7th,7th,5th,7th,7th,7th,1st,7th,1st,Morning Availability (9:00-11:00am),Early Afternoon Availability (1:00-3:00pm),Morning Availability (9:00-11:00am),Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",[''],d96c3199963b71fc71564236b25bd1f8,1
f765e16450122a86ca63c8065614f711,ad8a609db45b382f19ccaf2d45f514cf,No,3rd,1st,11th,5th,2nd,12th,7th,6th,9th,10th,13th,14th,4th,8th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),Late Afternoon Availability (3:00-5:00pm),['cb26e1c1d361ff032d52881db6acba6a'],2a5f502a9b0f5d8ca090edfe9516c0f1,2
d428533148fe780124e3447967b0fa99,c815b7d9b15ecdc743550d872c07eb21,No,4th,5th,6th,2nd,1st,8th,9th,10th,14th,11th,12th,13th,3rd,7th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","['eb2200e5c5841bf818dec4c5784d225d', '560dfb96a234d2d70186b4d4c1e79052', '0bc1bd2935bb58e581035d2a5ac62de3']",6d01182543b886b3aaf0e40d02bf0a5e,1
001fdbf639634d9590df84b91f74f9dd,73ee484bb5151159847e32597737af01,Maybe,11th,9th,8th,10th,13th,12th,7th,6th,14th,4th,5th,1st,2nd,3rd,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",[''],84cd248f5289c24095a7f29f23720ef0,2
b20120c9684d334ac99f2f1c161ff8ac,37bcd2b0a24614f86305dce038eb1d6e,Maybe,3rd,9th,8th,1st,2nd,12th,10th,5th,13th,14th,4th,7th,6th,11th,Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['087ec29bc3215bfd0d93b7c29ae05b07'],f14bacd9c5e337e88617ecf7588b09c1,1
cc22b577c24e00a497702077ce0626e6,40d79f7044fb271e97c63f443514c0ad,Maybe,13th,2nd,14th,4th,1st,10th,9th,11th,12th,8th,7th,6th,5th,3rd,Early Afternoon Availability (1:00-3:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['a8af7e8e384bb9a0e899774b790e7903'],080fc5b6bd95656ba2165a1bc1802088,3
a985fe699bce123ef0dd10f883d09e60,fe9437e429fb59b030543c0cc97bca02,Maybe,13th,1st,14th,10th,6th,11th,9th,4th,12th,7th,8th,3rd,5th,2nd,Midday Availability (11:00am-1:00pm),I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],c4a681ce3d9a804283bb66945c3be328,4
f0303bfb0b701f7ac94b3aff937fffe2,162cdc3a5158c7cf0a101eaead8521ae,Maybe,14th,5th,6th,2nd,1st,12th,10th,9th,11th,13th,8th,3rd,4th,7th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),['8bb111b8bf69244be360e0c6f549e1a4'],a871d0026901a4186f2902c6d7ca23d9,1
f5ee0c2fa9468ccc5368f5eb51a8b401,0678b9e3d11ee0931b15b1af9a12cb9a,Maybe,8th,9th,2nd,10th,12th,11th,1st,4th,7th,13th,14th,5th,6th,3rd,Late Afternoon Availability (3:00-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",Late Afternoon Availability (3:00-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",Early Afternoon Availability (1:00-3:00pm),[''],1699ea9ea14f94400638064d390eb50d,4
b0b44f27a4e9667d33c6d70dfdc05dc1,04ba8b02c612b24b705c5b969abd11b0,No,1st,2nd,11th,6th,3rd,8th,4th,13th,7th,14th,12th,10th,5th,9th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",Midday Availability (11:00am-1:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",['8241d3d34d27449b8ac5cb2eee9ca78f'],2a5f502a9b0f5d8ca090edfe9516c0f1,1
0d06fc95310aa560ca7e966962f99fdf,450452254b91fe88993064f0528dfcde,Maybe,9th,6th,7th,10th,1st,5th,14th,13th,8th,11th,4th,12th,3rd,2nd,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Early Afternoon Availability (1:00-3:00pm),Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",['252aed5ae9cddda765069bec5425c7bb'],080fc5b6bd95656ba2165a1bc1802088,4
66102239b3f31ba9c8f16c51d3c8d841,1bdf318771dc7b8da7ea27c4820a61a9,No,9th,11th,2nd,3rd,1st,10th,8th,5th,13th,12th,14th,6th,4th,7th,I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),[''],a871d0026901a4186f2902c6d7ca23d9,2
2cd62cb5cd52edf3a48a1f3def8239b0,66ebf137439ef24a28d59092e61f0fe7,Yes,8th,9th,10th,6th,2nd,1st,5th,11th,4th,12th,13th,14th,7th,3rd,"Morning Availability (9:00-11:00am), Early Afternoon Availability (1:00-3:00pm)","Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)",Late Afternoon Availability (3:00-5:00pm),"Morning Availability (9:00-11:00am), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",['805b765cde9133d634abc902f5aa3004'],ce9a07724daed8a4f2bb0243a197f7c0,1
b8df1d271f7479f1dca521ff449d8dc3,5b5a3ea1242224b191caecc7752b489e,Maybe,11th,9th,12th,8th,4th,7th,2nd,14th,3rd,13th,6th,1st,10th,5th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Early Afternoon Availability (1:00-3:00pm)",Late Afternoon Availability (3:00-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],ce9a07724daed8a4f2bb0243a197f7c0,4
03073ba984464a463a88130ef525d597,04126d21734d20af9cb9390a367b1725,No,7th,2nd,3rd,4th,14th,9th,10th,11th,8th,12th,13th,1st,6th,5th,Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),Late Afternoon Availability (3:00-5:00pm),['0b05ad4eab9478056fb089f0cca202e8'],d96c3199963b71fc71564236b25bd1f8,2
a3d6f9dbb99f2cd7a0459f062dbc2def,09bbba7c5afc2cfa74ddc34ca631fc8c,Maybe,9th,8th,6th,2nd,1st,10th,13th,12th,14th,11th,7th,4th,3rd,5th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Midday Availability (11:00am-1:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],6d01182543b886b3aaf0e40d02bf0a5e,1
f368a2aa5422e58f5862c2ded6d725e9,89d17c06e1a37f8f4966e7579841e931,Yes,7th,8th,9th,5th,3rd,4th,14th,11th,10th,13th,12th,1st,6th,2nd,Morning Availability (9:00-11:00am),I am not available at any point during the day (9:00am-5:00pm),Morning Availability (9:00-11:00am),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm)",Morning Availability (9:00-11:00am),[''],95dda093b40621d1a1629fe6efa4a15f,1
d76a13b0b2c64913ff50d15e8714437f,0f8dffbc86fe2e8395a2f6d4266ed58c,No,5th,1st,6th,7th,11th,14th,9th,10th,4th,12th,13th,3rd,2nd,8th,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Late Afternoon Availability (3:00-5:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Late Afternoon Availability (3:00-5:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],99db73a17b41b521be87c691bc1697f1,1
26b5ae0b8952f87659fa221ad2a72cc1,541add7205169e4991ce735e17850b81,,,,,,,,,,,,,,,,,,,,,[''],ce9a07724daed8a4f2bb0243a197f7c0,4
30bc3d1ae804a46be1ef2b39c7addcf1,ac68c7121eb219b458ac2d3e03c31a5c,Yes,4th,5th,10th,12th,1st,2nd,14th,9th,11th,8th,6th,7th,3rd,13th,"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",Midday Availability (11:00am-1:00pm),Early Afternoon Availability (1:00-3:00pm),[''],95dda093b40621d1a1629fe6efa4a15f,3
0bc1bd2935bb58e581035d2a5ac62de3,2048322234294e9c70c31f44da63c813,No,5th,6th,7th,2nd,1st,9th,10th,11th,4th,12th,13th,14th,3rd,8th,"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",['d428533148fe780124e3447967b0fa99'],a871d0026901a4186f2902c6d7ca23d9,1
0679d34cc946bc2b63880086e8807ba3,ddb96bfff4d112aa02d65364958dd2d7,No,13th,12th,3rd,4th,9th,6th,7th,8th,14th,10th,11th,2nd,1st,5th,I am not available at any point during the day (9:00am-5:00pm),Midday Availability (11:00am-1:00pm),I am not available at any point during the day (9:00am-5:00pm),Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",['66ace6a18ef8a8c29d5446eec8e0ac0b'],d96c3199963b71fc71564236b25bd1f8,2
de60a697201be4ceb6ef73aa5b17301f,148b51bb4284b1a7e182b0e2b4d142e6,Maybe,10th,3rd,4th,12th,13th,9th,7th,11th,6th,1st,14th,5th,8th,2nd,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Midday Availability (11:00am-1:00pm),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)","Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)","Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],84cd248f5289c24095a7f29f23720ef0,3
40d35b2c12e4bad8bd85bec1bae0d24a,f3ad53476b8d27a6f8e0b74db97d338a,No,6th,14th,1st,2nd,3rd,12th,5th,11th,7th,8th,9th,10th,4th,13th,Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Late Afternoon Availability (3:00-5:00pm),['7d45685b88d00a9eb5074c91bb1d51a0'],bf5dcab36ea2cab81be891aeb42f10d5,1
324abb57c651bcb7e1b90e8aad4ae1b8,c26735cc99d996913f3a96cde169e812,Yes,1st,9th,2nd,14th,11th,7th,5th,4th,3rd,8th,13th,12th,6th,10th,Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),"Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],ce9a07724daed8a4f2bb0243a197f7c0,3
f54f6cdff9f9244f397ee55153e4576d,b647f938c8e5aa75bc029a0e7b7cd764,Yes,14th,13th,12th,1st,10th,11th,3rd,5th,7th,9th,8th,7th,6th,4th,Morning Availability (9:00-11:00am),Morning Availability (9:00-11:00am),Morning Availability (9:00-11:00am),Morning Availability (9:00-11:00am),I am not available at any point during the day (9:00am-5:00pm),[''],1699ea9ea14f94400638064d390eb50d,4
1e5263543a62193fc0d53fe3f49d61b1,9746d3502b59c743ec20788ed822d9c8,Maybe,12th,13th,6th,10th,5th,8th,7th,3rd,4th,2nd,11th,1st,14th,9th,Midday Availability (11:00am-1:00pm),"Morning Availability (9:00-11:00am), Late Afternoon Availability (3:00-5:00pm)",Midday Availability (11:00am-1:00pm),Late Afternoon Availability (3:00-5:00pm),Midday Availability (11:00am-1:00pm),['21ef002d2c0bb2e6adebbfb5f14c1783'],c4a681ce3d9a804283bb66945c3be328,3
4ea4e4e80b54eadbd3d84de986148726,83fa6201020f6c80cc6e5dc01495bfcb,Yes,6th,1st,4th,5th,14th,3rd,8th,9th,7th,10th,11th,12th,13th,2nd,"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",I am not available at any point during the day (9:00am-5:00pm),"Morning Availability (9:00-11:00am), Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm)",Morning Availability (9:00-11:00am),"Midday Availability (11:00am-1:00pm), Early Afternoon Availability (1:00-3:00pm), Late Afternoon Availability (3:00-5:00pm)",[''],95dda093b40621d1a1629fe6efa4a15f,3
3673bf49c8788df7573299ccc0f7fd17,53cffacb6b668fe1a26d6c0a9f57531e,No,7th,8th,9th,10th,5th,12th,13th,14th,6th,4th,3rd,2nd,1st,11th,I am not available at any point during the day (9:00am-5:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),Early Afternoon Availability (1:00-3:00pm),I am not available at any point during the day (9:00am-5:00pm),['1c4a33e977488e862a91d21b9f786b6e'],1f4eb6bcc3951341284ad42f989acaec,2
