Are you interested in being a Team Representative? ,d580f6fedb5a7e8e112798ba7215c376,d544872a7a31ad80d4ec06d2ab3c106b,aed5a51831f1e9b3ea1d17ba844d32cd,d8576d770bc1e39ea2fec0dfef9c88a9,9c7028fd2f6e7005972bf543a45b2e06,a1ef38fb26b1b81ea66f46b5dc3e10c7,1ed3ddcaa6fab66fdd8673d0de207c3c,5ce679da3f7693e797ab5fc5b5fb5ccd,058754028b379782720a5f1f2d3e5311,889e7cf1f694a813051e599ade1a90e0,f51e4de107872409c4486cd4881297fb,21a0065e54f798bad719b2afe776f71c,e93be764a63e55196107e7e2ab6e957b,2b61e0b345dbfadd1a49bd03b7b789c6,id name,email anonymized,anonymized group preference
Yes,5th,1st,3rd,2nd,7th,6th,8th,4th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,"I am available at this time, but not currently enrolled",fdcc0b6a2a8f25914829ab5fd8992fb1,7b6fec905ef1c1dab10c21c15243a670,[]
Yes,5th,8th,4th,2nd,6th,3rd,7th,1st,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,d744d3b04205c37a31600f73a4c041eb,b2c6de510d584484d74c9aa9f8fa9f04,[]
No,3rd,5th,2nd,7th,6th,4th,1st,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,5d9713f43330675bc77646534d8a46c7,052d26da0511326a0556c5f49dae9b39,[]
Maybe,4th,6th,5th,3rd,7th,2nd,8th,1st,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",cf6417b47e02ec1e1d2b6c3bab1ca9e5,91cb394fed4f667f20f56d198cd6190d,[]
Yes,4th,6th,5th,1st,2nd,3rd,7th,8th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,45330d5ba373e603e5503e56d2489c58,09a5425422227aaccb851607094b1292,[]
Maybe,1st,2nd,4th,3rd,6th,7th,8th,5th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",77ff20695cd63cc250ebf8a6744766dc,042f42bf0ce9ae06d083c525e96ea044,[]
No,1st,3rd,7th,5th,8th,2nd,6th,4th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,7a8f4f158789af7fc967ae37922167c3,43548637b76aea81e3e5f26887eaa92d,[]
No,7th,6th,3rd,2nd,4th,1st,8th,5th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,be68e4464e354758889fdc49073160ff,5dca9d7879d5ef2f32c38438f16d02c5,['3526ce00d20161b6996e9c812e4f7a99']
Yes,8th,8th,8th,8th,8th,8th,1st,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,af4d430bc4f9c6cbb1dbdb0d9bec18d6,3975c0a28fccb65f3363eb048114f188,"['c6cdb00f3ae8098dc9178819d7c9a569', '37555ae77342b8a3099e826546f6584b']"
Maybe,8th,8th,8th,8th,8th,8th,1st,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,9268a85be7d9af6c676fedd760ea1710,c6cdb00f3ae8098dc9178819d7c9a569,"['c6cdb00f3ae8098dc9178819d7c9a569', '37555ae77342b8a3099e826546f6584b', '3975c0a28fccb65f3363eb048114f188']"
No,2nd,4th,5th,1st,6th,3rd,8th,7th,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",3c41bb614dda5f82fbaa0aa8495d7f6b,719eb21413f653f9b960b4059f5a70be,[]
Maybe,4th,5th,6th,3rd,8th,7th,1st,2nd,I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,bd25eaeca89b5dd7df04c27111e60259,37555ae77342b8a3099e826546f6584b,"['c6cdb00f3ae8098dc9178819d7c9a569', '3975c0a28fccb65f3363eb048114f188']"
Maybe,3rd,7th,6th,5th,8th,4th,2nd,1st,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",1558cf75892cea55603585a386160560,c5a8d96db675498dcb222c1bc82c18cc,[]
No,6th,7th,3rd,1st,8th,5th,2nd,4th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,8dbb6c716f4b9e752a789eab708ea4ac,17fa5cebe1d30263212c7afaea512c24,"['f1783cac86ca53071839053ec6134ef5', '2c94fdff21b0cbd492614031e74c1375']"
Maybe,6th,7th,3rd,1st,8th,4th,2nd,5th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",a760f1c53c0c3d3e380c058118c620cb,2c94fdff21b0cbd492614031e74c1375,['17fa5cebe1d30263212c7afaea512c24']
Yes,1st,2nd,4th,3rd,6th,5th,7th,8th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,6dd7bca98b27b539d965961a00e52733,bd616bf4b8415f03f4a89c09e110e46b,['0b069084da1ca195bc84bfaa6c15885e']
No,3rd,4th,1st,5th,6th,7th,8th,2nd,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,I am not available,d4c003a70b0e482cce74119bd09a1cc7,9769222337c9a9b0aa4d946866a9c982,['c5a8d96db675498dcb222c1bc82c18cc']
Maybe,2nd,3rd,1st,4th,5th,7th,6th,8th,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,"I am available at this time, but not currently enrolled",c4a6106e57e0adaff8449e0cc4c263ce,3ec9d2740b82457728fa71f83cbc8244,['efdc7820b6fa463c8ae43cffbe5219a2']
Maybe,7th,5th,2nd,4th,3rd,8th,6th,1st,I am currently enrolled in this lab section,I am not available,I am not available,I am not available,I am not available,I am not available,67f2a4cc77dd6e403fc4f6da29d7d8de,33e1ba8d19f43e84b502bad3528f6d9a,[]
Maybe,5th,4th,2nd,1st,7th,8th,6th,3rd,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,247031595308951ae06543cb825075ff,f1783cac86ca53071839053ec6134ef5,"['17fa5cebe1d30263212c7afaea512c24', 'f523677f6b221abac7df6ae1cd721fb7', '']"
Yes,8th,8th,3rd,3rd,8th,8th,1st,1st,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,3fd08947e50f1cc2aa1c9226c90c31dd,dcc261331e2d1a1eeade6a1719903189,[]
Yes,5th,3rd,6th,4th,7th,1st,8th,2nd,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,"I am available at this time, but not currently enrolled",a73b6e220da3c4fd2a127b0b0c89b992,a29f326465ad158d5f62cb8a5d2a256d,['48ec8d2e20b74dded81f69f3dff16502']
No,6th,8th,3rd,2nd,4th,7th,5th,1st,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,372a93bcf6e4c95f0d33f6d80359a8cb,229883950389ba10cd3d65b5d73ce5a1,[]
No,2nd,6th,4th,1st,5th,3rd,7th,8th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,b7c403cd9a25cd46d38ad3881398afa1,c2065868d12004d4d9fccdf64d5393a2,[]
Maybe,7th,6th,5th,4th,2nd,8th,3rd,1st,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",f31c7c280718f06c06f40cfcfc87e4d3,0784938411ee1af154e09e087488c168,['d09e88e4c9dba155f717a23fe80606ef']
Yes,4th,5th,1st,2nd,3rd,8th,6th,7th,I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",af86546e153b197151f944bee249ba1b,0c39fc6592e5dc3daf56704ccd8a37e7,"['6c2624b831c3f323842797d4d7caa570', '2d17c2e27220caa59e827ecdb114a65c', '3c639f233741b1286f3c19025b50b239', '5b91a39b02c9695f68153407c2114ce2']"
Maybe,2nd,5th,1st,3rd,6th,8th,7th,4th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",10e025c399be84803cdeba013d595c18,1578408f28ab821341bfb6272c098881,['d3a8e7fc5ae29397bd2d8605c1892a2b']
Yes,1st,7th,6th,8th,2nd,5th,4th,3rd,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,7240ab5235b5fb52916d7395256ee4aa,b5b83e7c9c977ae3437224344d03bcf4,[]
Maybe,5th,7th,3rd,1st,2nd,8th,6th,4th,I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",1e93b01e3deb4a387b706ecc6b455684,779562ecdf573e0489bf4b076f5de07c,"['3ff544010a74152c60e897926a7a7a5a', '55e5a80e8dc13a03292cedca65b96f83', 'c34bf10b7a2f6548217c0f73faf3e48e', '6023789e43542942d3c5751e49359611', '385e69c921b4c003c72c4e5f84396206']"
Maybe,4th,5th,1st,2nd,3rd,8th,6th,7th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,e29e025818bd6ca5dde1ab3186a702bf,6c2624b831c3f323842797d4d7caa570,"['2d17c2e27220caa59e827ecdb114a65c', '5b91a39b02c9695f68153407c2114ce2', '0c39fc6592e5dc3daf56704ccd8a37e7', '3c639f233741b1286f3c19025b50b239']"
Maybe,4th,5th,1st,2nd,3rd,8th,6th,7th,I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",1ffd84ce564dc620acbef9fed939bb29,5b91a39b02c9695f68153407c2114ce2,"['6c2624b831c3f323842797d4d7caa570', '2d17c2e27220caa59e827ecdb114a65c', '3c639f233741b1286f3c19025b50b239', '0c39fc6592e5dc3daf56704ccd8a37e7']"
Maybe,6th,5th,1st,3rd,8th,7th,2nd,4th,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",fc4214548338487b10b6c460d9d0d18f,aee33fc10dc8ccc7894c5e44bc2dfa86,[]
Maybe,4th,5th,1st,2nd,3rd,8th,6th,7th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,I am currently enrolled in this lab section,I am not available,91f8715d2bd0592ec309923191bc030a,2d17c2e27220caa59e827ecdb114a65c,"['6c2624b831c3f323842797d4d7caa570', '0c39fc6592e5dc3daf56704ccd8a37e7', '3c639f233741b1286f3c19025b50b239', '5b91a39b02c9695f68153407c2114ce2']"
Maybe,1st,6th,3rd,5th,4th,2nd,7th,8th,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,8aa204872f1a0a61556f5ca1769b3b1f,ab750af68d95cbe5b0ce941ac6c68234,[]
No,7th,6th,3rd,4th,2nd,8th,1st,5th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,5f010575cb1fa17b00dd30dd34786569,c34bf10b7a2f6548217c0f73faf3e48e,['55e5a80e8dc13a03292cedca65b96f83']
No,4th,6th,3rd,5th,2nd,8th,1st,7th,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",497ff4dc3ddb242956578c1ea5ea91de,55e5a80e8dc13a03292cedca65b96f83,"['c34bf10b7a2f6548217c0f73faf3e48e', '779562ecdf573e0489bf4b076f5de07c', '6023789e43542942d3c5751e49359611']"
Maybe,1st,7th,2nd,1st,2nd,6th,8th,8th,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,I am not available,I am not available,3e752699d617c3c388bf65ed79d5567e,640e1d52d513f6bfce3763ead03e6b38,[]
Yes,5th,4th,3rd,1st,8th,6th,7th,2nd,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,1998c65c5ad952bd33aee086dbce3000,f523677f6b221abac7df6ae1cd721fb7,"['f1783cac86ca53071839053ec6134ef5', '3acccbfe643f865e0d7a37c294b42631']"
Maybe,4th,5th,1st,2nd,3rd,8th,6th,7th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",060cddf5ac34df38883f7dbe08d244e8,3c639f233741b1286f3c19025b50b239,"['0c39fc6592e5dc3daf56704ccd8a37e7', '6c2624b831c3f323842797d4d7caa570', '2d17c2e27220caa59e827ecdb114a65c', '5b91a39b02c9695f68153407c2114ce2']"
Maybe,7th,6th,3rd,2nd,4th,1st,8th,5th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,0118b8fa5ae20c18ec4ebc4f4e89a7cf,3526ce00d20161b6996e9c812e4f7a99,"['5dca9d7879d5ef2f32c38438f16d02c5', '88836b5e1839c02d1fe0d160b1b00fcb']"
No,4th,2nd,1st,5th,8th,6th,3rd,7th,I am not available,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,I am not available,I am not available,34a46d713539a520200b5bb2162c6a66,7727fa4ce34371f104daec04b33e3e78,"['04f66ff9f86274b1f8300b4533863a48', 'b6c88ea5735556f0ac1a92797c8ba0f4', '44e0b1e842ee009864b97cef3a6ba7c5', 'dd506372f8a94d8d2854e475ae30dcd2']"
No,7th,1st,4th,2nd,3rd,5th,6th,8th,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,I am not available,I am currently enrolled in this lab section,5969f575136410090ba6a420d1d17584,5087ebc972ca1cd48cf5facdc96469df,[]
Maybe,7th,6th,3rd,5th,8th,2nd,1st,4th,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,I am not available,"I am available at this time, but not currently enrolled",I am not available,2e43770763c13ea184b72b679820b599,d0606f0da5c54cea46f80f41251ae5f0,[]
Maybe,5th,4th,3rd,1st,8th,6th,7th,2nd,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",a03626bc10ef89dde958efedf787b6b5,3acccbfe643f865e0d7a37c294b42631,"['f523677f6b221abac7df6ae1cd721fb7', 'f1783cac86ca53071839053ec6134ef5', '17fa5cebe1d30263212c7afaea512c24', '0c39fc6592e5dc3daf56704ccd8a37e7']"
No,7th,4th,1st,2nd,6th,8th,3rd,5th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,4232031f08233e2a39d325bb68406e42,d3a8e7fc5ae29397bd2d8605c1892a2b,['1578408f28ab821341bfb6272c098881']
No,2nd,6th,1st,4th,8th,5th,3rd,7th,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,a2bb67e81d28a0734461fb6ec1ca00ef,6abac36023350a56c387514266f146f3,[]
Maybe,7th,6th,5th,2nd,8th,3rd,4th,1st,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",28d508f4d8a6c528283eeed26cf65eb7,cd2121a8bc3c6a5a0897ee716c459082,[]
No,4th,3rd,1st,5th,8th,6th,2nd,7th,I am not available,I am not available,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am currently enrolled in this lab section,057b1eedb95aee7e0bad0ad8cb37458c,04f66ff9f86274b1f8300b4533863a48,"['dd506372f8a94d8d2854e475ae30dcd2', '44e0b1e842ee009864b97cef3a6ba7c5', 'b6c88ea5735556f0ac1a92797c8ba0f4', '7727fa4ce34371f104daec04b33e3e78']"
Maybe,1st,4th,2nd,3rd,5th,7th,8th,6th,I am not available,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",0f9f9e3df3ed104cd3f21a293c110281,48c421c4258123c2fd37afbf62cebf53,[]
Maybe,3rd,1st,7th,6th,5th,4th,2nd,8th,I am not available,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,87d56dd15e9156a8e977604984a7c9e9,e29caadcc0214aeb4e0eb50ad51932ca,[]
No,1st,4th,2nd,3rd,6th,7th,8th,5th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am not available,"I am available at this time, but not currently enrolled",36f1f7e80d6082196abf3bf517505c72,b32355b0f6e5375ea6cbd4fe26d50d70,['efdc7820b6fa463c8ae43cffbe5219a2']
No,3rd,8th,2nd,1st,4th,5th,6th,7th,"I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,"I am available at this time, but not currently enrolled",fb4ce33be5c7561a7fcdb6e20d51d0d2,f5651ba42e900a7afae603f451f8c4b3,['6eb4d89943d2de2b6a5e4d4b083ea56a']
Maybe,6th,5th,2nd,1st,4th,3rd,7th,8th,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled",I am not available,I am not available,I am not available,"I am available at this time, but not currently enrolled",63ec394b8772303a384bedce63dd8b59,a6dfe640a33c371be23ea059810d9af1,[]
No,1st,5th,2nd,3rd,8th,6th,4th,7th,I am not available,I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",16eb2837dc5ff00187b7e6f626137102,44334033cfd9bc35a40f7e2162e59227,"['f88e738cd2c184f079e0bb4539f91f85', 'a09595d5ba5d49a4262d9abd57dfc52d']"
No,6th,8th,7th,2nd,5th,3rd,4th,1st,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",I am currently enrolled in this lab section,"I am available at this time, but not currently enrolled","I am available at this time, but not currently enrolled",af5a45fe3772bcf717ea0bdee4e02b39,87bfa6ee14e7a436d0f1b44320ccc739,['33e1ba8d19f43e84b502bad3528f6d9a']
